,Unnamed: 0,"Para começar, confirme sua autorização selecionando uma das opções abaixo:","Em relação a temas como Usabilidade, Experiência do Usuário (UX), Interação Humano-Computador, Design Centrado no Usuário e outros, você se considera",A UX é muito dinâmica - muda constantemente enquanto há interação com um produto. [Marque uma opção. ],A expectativa de uso de um produto pode resultar em experiências reais.  [Marque uma opção. ],"Aspectos efêmeros e estáveis do estado interno de uma pessoa (por exemplo: necessidades,  motivações)  afetam a experiência da pessoa com algo. [Marque uma opção. ]",A UX é melhor compreendida se analisada dentro da área de marketing. [Marque uma opção. ],UX ocorre e depende do contexto em que o artefato é experimentado.  [Marque uma opção. ],"UX não é sobre o desempenho do usuário (habilidade para entender e utilizar) em relação a um artefato, mas sobre a percepção pessoal dele sobre esse desempenho. [Marque uma opção. ]",Definitivamente existe a necessidade de uma definição padronizada para o termo UX. [Marque uma opção. ],A exposição prévia a um artefato molda uma posterior experiência do usuário  [Marque uma opção. ],As pessoas nunca terão uma experiência (UX) comparável - toda e qualquer interação com um produto resulta em uma experiência única. [Marque uma opção. ],A UX deveria ser avaliada após a interação com o artefato. [Marque uma opção. ],"A UX está baseada em como uma pessoa percebe as características de um artefato, mas não nas características em si. [Marque uma opção. ]",Usabilidade é uma pré-condição necessária para a UX.  [Marque uma opção. ],"Nós não podemos projetar a UX, mas podemos projetar para a UX.  [Marque uma opção. ]","Medir a UX implica em determinar as vantagens, valores e significância de um artefato com relação às necessidades e objetivos de uma pessoa. [Marque uma opção. ]","A UX se refere a estados afetivos, isto é, qualquer combinação de valências emocionais (bom-ruim, prazeroso-desagradável) e estímulos psicológicos (calmo-agitado) [Marque uma opção. ]","A UX pode ser quantificada e, portanto, comparada entre artefatos similares (ou competitivos) [Marque uma opção. ]",A UX deveria ser medida enquanto se interage com um artefato. [Marque uma opção. ],Ao se projetar (para a) UX deve-se ter como alicerce o Design Centrado no Usuário  [Marque uma opção. ],"Apenas um indivíduo pode ter uma experiência. Uma experiência é algo pessoal. Algo que ocorre ""dentro"" da pessoa. [Marque uma opção. ]",UX é igual a apego emocional.  [Marque uma opção. ],UX não é algo novo. Já é contemplada por abordagens existentes (ex.: engenharia de usabilidade). [Marque uma opção. ],A UX deve ser abordada qualitativamente.  [Marque uma opção. ],A UX pode mudar mesmo depois que uma pessoa já parou de interagir com o produto. [Marque uma opção. ],"Dentre essas definições, qual você escolheria",Justificativa,"Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? ","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .1","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .2","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .3","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .4",Qual seu gênero? ,Qual é a sua faixa etária?,Em qual cidade você vive? ,Região ,Você é ,Role,Domain ,Sua formação principal foi na área de ,Educação ,Você já atuou ou atua profissionalmente com UX? ,"Complete a frase: ""Eu estou interessado(a) em entender o conceito de UX...""","Atualmente, quão importante é a UX para a sua vida profissional/acadêmica?"
70,70,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","O conceito se refere tanto as pessoas quanto aos sistemas projetados.
Quando a experiência vai além do produto e vira CX.",Parece um conceito de CX,,,,,Masculino,Entre 32 e 39 anos.,São paulo,Sudeste,Profissional do Mercado ,Profissional,Mercado,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, como contratado.","""... para deixar os usuários satisfeitos""",7.0
71,71,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]","Todas as definições são relativamente similares, mas a do Nielsen ficou mais próxima de uma pirâmide de estados para atingir a ux. Por mais que ela seja o conjunto dos artefatos, não se pode atingir um bom nível de ux sem resolver a eficiência, e eficácia ",,,,,,Masculino,Entre 25 e 31 anos,Joinville ,Sul ,Profissional/Pesquisador,Profissional,Mercado,Design,Design,"Sim, como contratado.","""... por motivos acadêmicos"", Não tenho esse interesse / não acho que seja importante.",7.0
72,72,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Indiferente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,"D3: Experiência do usuário diz respeito a todo o conjunto de afetos que é evocado pela interação entre o usuário e o produto, incluindo o grau em que todos os nossos sentidos são gratificados (experiência estética), os significados que atribuímos ao produto (experiência de significação) e os sentimentos e emoções que são evocados (experiência emocional). [Desmet & Hekkert, 2007]","Acredito que experiência do usuário está ligado a tarefas que as pessoas fazem quando utilizam um determinado produto ou serviço. Os ciclos de vida entre usuário e produto são muito mais complexos que apenas UX. Por isso existe um pensamento heterogêneo sobre o tema, pois UX; CX e Service Design são diferentes.",,,,,,Masculino,Entre 25 e 31 anos,São Paulo,Sudeste,Service Designer,Profissional,Mercado,Comunicação,Outros ,"Sim, como contratado.","""... para criar produtos melhores""",7.0
73,73,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Indiferente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Indiferente,Concordo parcialmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","As variáveis que definem a experiência do usuário são inúmeras e incluem estado interno dos usuários, características do sistema projetado e o contexto (ou ambiente) no qual a interação ocorre.",,,,,,Feminino,Entre 25 e 31 anos,São Paulo,Sudeste,Trabalhador,Profissional,Mercado,Design,Design,"Sim, como estagiário., Sim, como contratado., Sim, como freelancer ou voluntário., Sim, em um projeto acadêmico (por exemplo: iniciação científica, monitoria de graduação)","""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos""",7.0
74,74,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Indiferente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]","Acredito que a experiência, como convencionalmente vivemos e projetamos, reflete sim a essência da empresa a qual está sendo manipulado aquele artefato.
Se um artefato é usado com alegria, prazer é isso faz bem a todo ecossistema, esta é uma boa experiencia. Mesmo que nem sempre o usuário tenha dito o que ele quer, afinal, nem ele pode saber o que ele quer. Às vezes ele simplesmente quer ser surpreendido",,,,,,Masculino,Entre 25 e 31 anos,Campinas,Sudeste,Trabalhador assalariado,Profissional,Mercado,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, como contratado.","""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos""",7.0
75,75,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Indiferente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Não entendi a frase.,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Indiferente,Discordo parcialmente,Concordo totalmente,"D5: Experiência do Usuário é a qualidade da experiência que uma pessoa tem quando interage com um design específico. Isso pode mudar de um artefato específico como um copo de brinquedo ou um website até experiências integradas maiores, como um museu ou um aeroporto. [UXNet.org]",Por ser dinâmica,,,,,Não,Masculino,40 anos ou mais.,Santos-SP,Sudeste,Trabalho com administração em construção civil,Profissional,Mercado,Logística,Outros ,Não.,"""... para deixar os usuários satisfeitos""",3.0
76,76,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","A definição escolhida traz uma síntese possível de ser encontrada nas demais respostas, elencando afeto pessoal, interação usuário produto/serviço, a experiência perceptiva e sensorial e a funcionalidade do produto/serviço.","Concordo com essa definição pois a prioridade deve ser a funcionalidade e estando resolvida quer dizer que sua concepção, arquitetura, está cumprindo com as prioridades do produto/serviço. Os refinamentos estéticos são importantes e confortam o usuário podendo proporcionar uma sensação mais plena.",Concordo com as colocações porém a parte do ambiente externo depende do tipo de serviço/produto.,"Considero uma definição bem colocada e menos detalhada, me agrada.","Acredito que tenham mais envolvimentos a serem colocados na definição de UX, talvez para alguém da área fique compreendido mas para alguém de fora é melhor ter mais contextualização.","Achei essa resposta muito boa por conter exemplos, certamente serve para dar as pessoas um entendimento mais prático. Realmente para quem não é da área de UX.",Prefiro não informar,Entre 32 e 39 anos.,Porto Alegre,Sul ,Trabalho como UI e UX em uma empresa de educação à distância e faço pós em UX (segundo semestre),Profissional,Mercado,Design,Design,"Sim, como contratado.","""... por motivos acadêmicos"", ""... para criar produtos melhores"", ""... para aumentar a venda de produtos"", ""... para deixar os usuários satisfeitos""",7.0
77,77,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]",Pq para mim UX é o usuário. Contemplar sua necessidade e satisfação.,,,,,,Feminino,40 anos ou mais.,São Paulo,Sudeste,Ux designer,Profissional,Mercado,Design,Design,"Sim, como contratado.",Curiosidade ,7.0
78,78,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Indiferente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Não entendi a frase.,Discordo parcialmente,Concordo totalmente,Não entendi a frase.,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Indiferente,Concordo parcialmente,Concordo totalmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]","mais completa, engloba o que eu acredito sobre o meu trabalho",concordo,falou falou e não explicou kkkk,muito subjetivo,muito simplista,"concordo, mas gosto mais da maneira como o NN escreve",Feminino,Entre 25 e 31 anos,bauru,Sudeste,ux researcher trabalhando em produto,Profissional,Mercado,arquitetura e urbanismo,Psicologia / Ciências sociais,"Sim, como contratado., Sim, como freelancer ou voluntário., Sim, em um projeto acadêmico (por exemplo: iniciação científica, monitoria de graduação)","""... para criar produtos melhores""",7.0
82,82,"Confirmo que li, concordo com os termos e aceito participar.",Interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,Indiferente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Indiferente,Concordo totalmente,Concordo parcialmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",Por causa da interação com o usuário ,,,,,,Feminino,Entre 18 e 24 anos,Brasília,Centro-oeste,Social Media,Profissional,Mercado,Comunicação,Outros ,Não.,"""... para criar produtos melhores""",7.0
83,83,"Confirmo que li, concordo com os termos e aceito participar.",Regularmente interessado em pelo menos um dos temas,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]","Escolhi a primeira não porque parece a mais correta, mas porque há partes que acredito serem fundamentais que estão faltando nas outras definições. A que mais se identifica comigo seria a 3, porém achei a primeira mais completa. Acredito que antes de tudo há uma necessidade a sanar, que enquanto isso ocorre (em menor importância) é obrigatória uma experiência agradável e por que não, um quê de surpresa por último, que se for agradável a glorifica, mas se for negativo a macula fortemente. Além disso, pra mim a experiência é muito única mas é possível medir em termos gerais direcionáveis, quando o público alvo tem a mesma cultura. Por último [pessoal], um produto que resolve mas é ruim de usar, eu olho pouquíssimo quando sou obrigado, um produto que resolve e é bom de usar me garante uso contínuo e satisfação, e verdadeiramente prazer só ocorre quando sou surpreendido por funcionalidade que não havia pensado antes que me resolve outro problema ou resolve mais rápido",,"Contexto é uma válida adição que não estava contida nas outras. Não é descartável, mas é dispensável numa declaração rápida","Gostei muito do enfoque emocional dado aqui, muito embora há um porém de que se o produto qualquer tiver viés de ferramenta, antes de tudo precisa cumprir seu propósito",,"Concordo mas achei vago. Obviamente produtos, lugares e objetos diferentes produzem sensações diferentes principalmente se foram concebidos para fins diferentes",Masculino,Entre 18 e 24 anos,Fortaleza,Nordeste,Estudante,Estudante,Academia,Design,Design,Não.,"como ambição pessoal, para entender como as pessoas funcionam através das ferramentas que usam",5.0
84,84,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Indiferente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]",Porque achei que melhor engloba o conceito.,,,,,,Feminino,Entre 25 e 31 anos,Fortaleza,Nordeste,Estudante,Estudante,Academia,Psicologia,Psicologia / Ciências sociais,Não.,Não tenho esse interesse / não acho que seja importante.,6.0
85,85,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Não entendi a frase.,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Indiferente,Concordo totalmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","Escolhi a segunda alternativa porque me pareceu mais completa, mostrando que a experiência vai tanto de dentro pra fora quanto de ora pra dentro. Mas, na minha visão, todas as respostas estão corretas e uma complementa a outra",,,,,,Masculino,Entre 25 e 31 anos,Curitiba,Sul ,"Designer UX, trabalho em uma startup",Profissional,Mercado,Design,Design,"Sim, como contratado.","""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos"", Para melhorar como profissional ",7.0
86,86,"Confirmo que li, concordo com os termos e aceito participar.",Interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Indiferente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",pelo fato de essa opção levar bem em conta os aspectos anteriores à interação e os aspectos exteriores à relação usuário-produto,,,,,,Masculino,Entre 18 e 24 anos,fortaleza,Nordeste,Estudante,Estudante,Academia ,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... para criar produtos melhores""",6.0
87,87,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Indiferente,Indiferente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",A definição 2 é mais objetiva ao tratar UX a partir de seus elementos,Ela é melhor para Brand Experience  ,"Ela trata ux como uma consequência de uma interação entre varios elementos, abordagem da qual sou mais simpático por ser mais fácil de trabalhar. ","Apesar de ser interessante, essa definição trata ux como um elemento emocional, quando eu entendo que na verdade UX é um acontecimento, um evento decorrente de uma interação entre elementos (como aborda a D2)","Essa definição é interessante por ir na direção que entendo ser correta, porém a D2 é mais clara. ","Trata UX como um atributo de qualidade, algo que considero reducionista ",Masculino,40 anos ou mais.,Toronto,Fora do Brasil ,Profissional ,Profissional,Mercado,Marketing + Design + Tecnologia (cursos diferentes),Outros ,"Sim, como contratado., Sim, como freelancer ou voluntário., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... por motivos acadêmicos"", ""... para criar produtos melhores"", ""... para aumentar a venda de produtos"", ""... para deixar os usuários satisfeitos""",7.0
88,88,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Não entendi a frase.,Concordo totalmente,Indiferente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Indiferente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Indiferente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","A definição apresenta uma explicação proxima a realidade, onde qualquer um dos fatores envolvidos (ambiente, estado interno e características dos produtos) influencia diretamente a experiência a qual o usuário tem.",,,,,,Masculino,Entre 18 e 24 anos,Ouro Preto,Sudeste ,Estudante,Estudante,Academia,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... por motivos acadêmicos""",6.0
89,89,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,"D5: Experiência do Usuário é a qualidade da experiência que uma pessoa tem quando interage com um design específico. Isso pode mudar de um artefato específico como um copo de brinquedo ou um website até experiências integradas maiores, como um museu ou um aeroporto. [UXNet.org]",Fiquei na dúvida entre a primeira e a última. Escolhi a última porque ela é mais simples e foca no cerne principal do conceito que é a qualidade da experiência (doo uso).  ,,,,,,Feminino,40 anos ou mais.,Quixadá,Nordeste,Pesquisador e/ou acadêmico,Pesquisador e/ou acadêmico,Academia,Computação e/ou tecnologia,Tecnologia / Computação / IHC,Atuei em projetos de pesquisa que envolveram avaliar UX.,"""... por motivos acadêmicos""",7.0
